                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.75358,                0.86948,                 1.2188,                0.76646,                0.72906,                0.80286,                0.60965,                0.86467,                0.97049,                 1.2867,             0.00047839,             0.00047839,             0.00047839
                     46,                0.73323,                0.85958,                 1.2042,                0.78969,                0.75653,                0.82051,                0.63873,                0.81111,                0.87872,                 1.2278,             0.00047015,             0.00047015,             0.00047015
                     47,                0.75454,                0.85832,                   1.22,                0.81999,                0.70674,                0.81038,                 0.6439,                0.77209,                0.91802,                 1.2138,              0.0004619,              0.0004619,              0.0004619
                     48,                0.71263,                0.84509,                 1.1971,                0.81549,                0.76258,                0.82788,                0.63374,                0.83292,                0.89227,                 1.2747,             0.00045365,             0.00045365,             0.00045365
                     49,                0.73487,                0.84706,                 1.2051,                0.81463,                0.78633,                0.83039,                0.64514,                0.78156,                0.82259,                 1.2041,             0.00044541,             0.00044541,             0.00044541
                     50,                 0.7255,                0.85803,                 1.1886,                0.76869,                0.78324,                0.82043,                0.64528,                0.79869,                0.84098,                  1.236,             0.00043716,             0.00043716,             0.00043716
                     51,                0.73798,                0.85942,                 1.2102,                 0.7961,                 0.7769,                0.83225,                0.66451,                0.77278,                0.82078,                 1.2122,             0.00042891,             0.00042891,             0.00042891
                     52,                0.70434,                0.80919,                 1.1826,                0.77018,                0.74463,                0.80149,                0.62337,                0.80785,                0.91752,                 1.2567,             0.00042066,             0.00042066,             0.00042066
                     53,                0.70825,                  0.797,                  1.187,                0.77616,                0.76595,                0.80236,                  0.624,                0.80881,                0.87679,                 1.2273,             0.00041242,             0.00041242,             0.00041242
                     54,                0.70361,                0.78258,                 1.1824,                0.81589,                0.75579,                0.83644,                0.65352,                0.79738,                0.81668,                 1.2306,             0.00040417,             0.00040417,             0.00040417
                     55,                0.69976,                0.91985,                 1.1658,                0.80644,                0.72602,                0.80321,                0.63393,                 0.7757,                0.88443,                  1.201,             0.00039592,             0.00039592,             0.00039592
                     56,                0.69769,                0.77357,                 1.1922,                0.81212,                0.79255,                0.84398,                0.67874,                0.76456,                0.77891,                 1.1975,             0.00038768,             0.00038768,             0.00038768
                     57,                0.68371,                0.80098,                 1.1659,                0.82057,                0.75523,                0.82321,                0.65274,                0.78482,                0.79182,                  1.217,             0.00037943,             0.00037943,             0.00037943
                     58,                0.70709,                0.78157,                 1.1862,                0.78393,                0.78668,                0.82719,                0.65268,                0.75978,                0.78777,                 1.2015,             0.00037118,             0.00037118,             0.00037118
                     59,                0.68902,                0.73918,                 1.1782,                0.83144,                0.71492,                0.81385,                0.64611,                0.80047,                0.88287,                 1.2442,             0.00036294,             0.00036294,             0.00036294
                     60,                0.68235,                0.76991,                 1.1751,                0.79236,                0.82418,                0.85398,                0.66186,                 0.7926,                0.78617,                 1.2179,             0.00035469,             0.00035469,             0.00035469
                     61,                 0.6764,                0.74098,                 1.1548,                0.84216,                0.77619,                 0.8411,                0.65915,                0.78997,                 0.7904,                 1.2169,             0.00034644,             0.00034644,             0.00034644
                     62,                0.67383,                0.72425,                 1.1563,                0.85555,                0.75712,                0.83738,                0.66656,                0.77372,                  0.816,                 1.2044,              0.0003382,              0.0003382,              0.0003382
                     63,                0.67463,                0.73706,                  1.161,                0.81513,                0.80805,                0.81942,                 0.6328,                0.75392,                0.83545,                 1.1944,             0.00032995,             0.00032995,             0.00032995
                     64,                0.66482,                0.71245,                 1.1566,                0.83719,                0.75651,                0.83166,                0.65791,                 0.7749,                0.76865,                 1.2023,              0.0003217,              0.0003217,              0.0003217
                     65,                0.64148,                0.68303,                 1.1406,                0.84522,                0.74272,                0.82285,                0.66626,                0.74833,                0.83619,                 1.1754,             0.00031346,             0.00031346,             0.00031346
                     66,                0.68188,                0.70894,                 1.1596,                0.87065,                0.77186,                0.85079,                0.68887,                0.75964,                0.77824,                 1.1798,             0.00030521,             0.00030521,             0.00030521
                     67,                0.62472,                0.67527,                 1.1236,                0.88335,                0.77346,                0.85321,                0.68223,                0.76315,                0.73723,                 1.1953,             0.00029696,             0.00029696,             0.00029696
                     68,                0.64775,                0.70339,                  1.145,                0.86091,                 0.7794,                0.84105,                 0.6647,                0.76738,                0.77137,                 1.1961,             0.00028872,             0.00028872,             0.00028872
                     69,                0.63993,                0.68011,                 1.1379,                0.82741,                 0.7933,                0.84759,                0.67112,                0.75432,                0.74856,                 1.1997,             0.00028047,             0.00028047,             0.00028047
                     70,                0.64587,                0.68307,                 1.1502,                0.83334,                0.77506,                 0.8332,                0.65324,                0.76724,                0.81399,                 1.2113,             0.00027222,             0.00027222,             0.00027222
